Gene	log2FC_mRNA	padj
108079	1.178770209	0.012325065
158611	1.362896704	0.012325065
114581	1.196195195	0.01234998
144322	1.192394275	0.01238078
129225	1.461413869	0.01248769
83961	1.597909025	0.012780832
83758	1.044758185	0.012888656
107642	-1.637122868	0.013778549
74494	2.376160951	0.014131335
148871	-1.226847834	0.014166449
155825	-1.108131276	0.014247175
151364	-1.09207455	0.014337769
163354	1.32442819	0.014361044
167392	3.787030922	0.014380791
156379	1.386974044	0.014431378
77485	-1.019744113	0.014737205
164932	1.086346157	0.014815879
79827	1.433994929	0.015113
123428	-1.161656157	0.015166794
142662	2.477650337	0.015307319
155285	2.419343788	0.015331354
151838	2.055599179	0.015378095
135286	1.133690538	0.015545085
156346	-1.460002349	0.015593287
83968	1.085574651	0.015770344
149047	-1.388244599	0.015996979
32608	1.257578016	0.016442359
158770	1.175859832	0.016880826
164774	1.338362741	0.016880826
140774	-1.078225515	0.017063953
154936	-2.489783792	0.017069797
77555	2.082348436	0.01725432
158016	1.207832417	0.017384465
158052	1.274912951	0.017444289
73791	1.055387656	0.017956995
163178	-1.015944388	0.018486129
155296	1.125109402	0.019175908
163979	-3.336275032	0.019314607
156848	-2.212287482	0.019562043
144753	-1.141296902	0.019607731
167891	1.689389619	0.020009958
109312	1.045933204	0.02064357
110863	1.059661754	0.020757525
167148	1.457682934	0.020929351
77680	1.06326941	0.021421272
113898	-2.68865412	0.021704073
150197	1.126723612	0.021948535
144790	-1.025390862	0.022379511
154721	-1.051312927	0.022634918
155536	-1.41515136	0.022755121
121836	-1.252481788	0.022929177
109102	3.777689295	0.023012037
142314	2.245248964	0.023012037
162659	1.205366669	0.023035058
116171	1.019685631	0.023088245
118964	1.222917447	0.023117065
166967	1.25755117	0.023326972
82096	1.205560437	0.023538776
108121	1.095689758	0.02364275
108145	1.977848631	0.023724268
105214	3.059739999	0.023886441
84715	1.72984301	0.024110541
152044	-1.264077733	0.024150427
156991	2.87517913	0.024348002
114894	1.431262374	0.024548972
112094	1.542110665	0.024672293
109309	1.105381561	0.025130949
150705	-1.01214925	0.025508116
166640	-1.184510556	0.026014423
188453	1.327688558	0.026190526
142739	-1.002924842	0.026453383
116213	1.246417915	0.026490837
74863	1.114531084	0.026585153
110818	1.323506084	0.026592384
134783	1.364809495	0.026786018
161215	1.178692665	0.026964737
157151	-1.097919281	0.02734633
147162	1.130947918	0.027407641
154275	1.015481279	0.027550744
156811	1.480686461	0.027659273
157086	-1.09336984	0.027719983
157526	2.174730402	0.02783968
112595	1.825002048	0.028119138
19268	-1.180930254	0.028234274
85584	2.247356222	0.028292979
163852	2.267539	0.028366692
116272	1.682638383	0.028376021
106753	1.708683091	0.029159284
157965	1.35750203	0.029310156
165820	2.149861971	0.029357535
86684	1.491476658	0.029544778
35399	2.967530573	0.029742636
114813	-1.312093666	0.029786217
153053	1.330003064	0.029994593
154656	1.213499852	0.030358722
137203	2.024353746	0.031110084
150168	1.000999599	0.031455413
92435	1.102144569	0.031455413
155401	-1.097947834	0.03149821
106458	2.610612664	0.031553436
151498	-2.350771646	0.031688414
158084	1.951641499	0.032038042
78885	1.540955873	0.032908357
126295	-2.126361916	0.033371841
117713	1.069596778	0.033416806
112593	1.217065019	0.033458343
155836	-1.115757785	0.033772427
108300	1.021056327	0.034299012
105623	1.906557253	0.034648056
24286	1.702691622	0.035335663
114740	1.606137148	0.035619809
82305	-1.416954911	0.036801165
166497	1.002685586	0.038278722
119441	-1.305605078	0.038410701
86286	2.593234517	0.038500713
108021	1.787362268	0.038501578
135793	2.328433642	0.03867893
167611	1.567359185	0.039203614
96102	-1.106916022	0.039687717
40786	-1.541587819	0.040916879
153275	-1.142768059	0.04195224
157160	-1.81672622	0.042384525
119015	-1.362263964	0.042513227
95042	1.267301288	0.043015246
106032	1.965208664	0.043212666
161673	1.145035684	0.043397904
161491	1.47530766	0.04364529
161017	1.0267026	0.044796837
165610	1.210622959	0.044865843
92480	1.215455752	0.045848027
155797	1.777321797	0.047403942
105783	1.124741258	0.048359892
110857	1.312004193	0.048631206
112093	1.553024826	0.048805567
16755	1.008043553	0.048908557
116239	2.34782039	0.049061467
109736	-2.73043769	0.049483537
85242	2.284969318	0.049614145
