Gene	log2FC_mRNA	padj
154750	-1.469332969	1.03E-09
24118	1.484935562	1.04E-09
76083	-1.804420796	1.23E-09
166257	2.420626683	1.26E-09
140479	3.152546869	1.31E-09
25943	-1.236410501	1.39E-09
139955	2.406565211	1.40E-09
141196	1.391054136	1.57E-09
110388	1.332492395	1.62E-09
108667	-3.124301384	1.74E-09
162091	2.617196482	1.79E-09
154815	1.740004338	1.80E-09
128055	-3.646730984	2.16E-09
176428	-1.481888439	2.19E-09
71875	-1.79737913	2.19E-09
161426	2.681835203	2.35E-09
108219	1.177598618	2.40E-09
110430	-2.000256072	2.42E-09
127152	-1.192138142	2.62E-09
157469	2.030892995	2.72E-09
167136	1.089411584	2.86E-09
106110	-1.696632325	2.88E-09
144275	-1.110744902	2.91E-09
113194	1.887185349	2.98E-09
156936	1.089033629	2.98E-09
163262	-1.018529103	3.11E-09
84769	-1.881879394	3.12E-09
111806	-3.203585474	3.38E-09
148011	1.646352793	4.18E-09
105472	2.141583452	4.28E-09
77243	1.384855621	4.38E-09
189706	1.246281267	5.05E-09
154902	-1.27515128	5.19E-09
155279	-1.033632496	5.42E-09
180692	1.418284112	5.70E-09
157356	1.705059663	6.08E-09
156464	1.009032143	6.36E-09
159994	1.4912238	6.44E-09
157316	2.110071232	7.18E-09
164671	1.440307685	7.73E-09
178540	1.754519533	8.32E-09
152804	-4.847429227	8.40E-09
151821	1.883120052	9.23E-09
183101	1.293759216	9.40E-09
113824	1.701926992	9.99E-09
191182	4.044118327	1.07E-08
137247	1.014932653	1.21E-08
108360	1.377163495	1.22E-08
77781	-1.584930895	1.43E-08
115262	1.22863332	1.52E-08
155636	-1.192980954	1.65E-08
145299	-1.867874389	2.03E-08
152767	-1.026010009	2.03E-08
155528	1.057577409	2.17E-08
108447	1.348172572	2.34E-08
86936	2.071174878	2.41E-08
104504	1.231103694	2.51E-08
156290	-2.032176831	2.72E-08
180998	1.014793244	2.77E-08
106013	-2.340337909	2.94E-08
140498	1.346089115	2.96E-08
181540	1.05540325	3.29E-08
109471	1.272061895	3.33E-08
155263	1.346210999	3.33E-08
110469	-1.118870611	3.64E-08
151062	1.094006852	3.96E-08
166881	-1.958280187	4.28E-08
148979	2.132750509	4.29E-08
107229	1.305750532	4.35E-08
39960	-1.839254488	4.38E-08
50331	2.559062648	4.56E-08
128322	1.00477515	4.66E-08
174595	1.382745862	4.75E-08
108793	1.0476309	4.90E-08
113533	1.108312726	4.94E-08
190663	1.176964541	5.25E-08
155962	1.297627904	5.83E-08
157548	1.565129006	5.96E-08
113779	1.720443194	6.50E-08
161811	3.693055473	6.83E-08
157511	1.483133644	7.24E-08
41668	-1.21968003	7.62E-08
156065	1.622538788	7.81E-08
115952	-2.500247289	1.05E-07
111834	1.294387639	1.08E-07
145827	2.334454842	1.10E-07
157591	1.051868606	1.10E-07
174921	1.072766751	1.10E-07
43302	1.735782801	1.10E-07
77196	1.701206757	1.10E-07
109052	1.71306215	1.11E-07
84805	2.173958102	1.19E-07
106481	-1.552519838	1.22E-07
155280	-1.284034079	1.26E-07
114551	-1.222776021	1.30E-07
182647	1.429217232	1.34E-07
107290	2.038271664	1.51E-07
154858	1.975579273	1.58E-07
163147	-1.445184178	1.60E-07
85707	1.330509395	1.63E-07
156270	1.136682571	1.63E-07
154273	-1.076599385	1.67E-07
161392	1.42641407	1.70E-07
189295	1.175288743	1.70E-07
143448	-1.995501593	1.70E-07
157011	-4.308864541	1.74E-07
154827	1.998202085	1.80E-07
80057	1.351608542	1.80E-07
112303	2.51665973	1.84E-07
109412	1.256191727	1.93E-07
182413	2.698008568	2.10E-07
167058	3.687702643	2.15E-07
85832	-3.973818376	2.24E-07
186020	1.103148536	2.36E-07
85537	1.793059337	2.43E-07
185607	1.807855297	2.49E-07
180235	-1.351182648	2.67E-07
138478	-1.358958912	2.75E-07
157263	-1.841755594	2.75E-07
158509	2.15187516	2.78E-07
153639	-1.42870628	2.83E-07
111422	1.749341702	2.88E-07
155276	1.035674166	2.99E-07
159317	1.40147907	3.04E-07
113168	3.343411188	3.06E-07
115219	1.267535336	3.11E-07
189175	1.973853316	3.26E-07
139791	1.278081839	3.26E-07
108238	-1.737225225	3.32E-07
157444	1.168941017	3.39E-07
109353	-1.232969012	3.41E-07
155633	-1.087884501	3.42E-07
