Gene	log2FC_sRNA	padj
184669	1.338371638	1.04E-06
190709	1.348237617	1.08E-06
139679	-1.254881531	1.09E-06
156993	1.094218069	1.09E-06
161121	1.928934014	1.12E-06
165975	1.537833957	1.12E-06
159340	1.504412633	1.13E-06
146433	1.644215864	1.22E-06
138847	1.34199539	1.25E-06
82429	-2.407013592	1.26E-06
155794	1.990315783	1.27E-06
83143	-1.964459166	1.35E-06
185910	-1.120405988	1.35E-06
90838	1.531414588	1.40E-06
90308	1.061703852	1.41E-06
191214	1.069330291	1.41E-06
156301	1.184081268	1.43E-06
106481	-1.369196388	1.44E-06
155287	1.567815615	1.46E-06
112419	-1.20997408	1.47E-06
122340	1.177569812	1.50E-06
183101	1.043736841	1.63E-06
105410	1.132420975	1.70E-06
115916	-1.561305184	1.71E-06
24330	-1.610650562	1.73E-06
152360	-1.265447542	1.90E-06
106649	-2.097611194	2.08E-06
110430	-1.78299743	2.11E-06
80799	-1.556315144	2.21E-06
112154	-1.639507311	2.32E-06
160585	1.223487588	2.59E-06
156750	1.791740001	2.62E-06
82878	-1.164100607	2.63E-06
140340	1.215171336	2.67E-06
77708	-2.050607845	2.74E-06
155048	-1.1869392	2.96E-06
77569	1.735873312	3.16E-06
138330	1.156420945	3.28E-06
73332	-1.619837363	3.33E-06
155110	1.364423435	3.48E-06
77261	-2.31714694	3.74E-06
156289	-1.976120576	4.01E-06
105951	1.421990819	4.12E-06
81188	-2.037359306	4.31E-06
142350	1.204291432	4.36E-06
141809	-1.776624581	4.42E-06
124098	-2.191213684	4.48E-06
162091	1.704333173	4.49E-06
105619	1.392172642	4.53E-06
45435	1.378977858	4.86E-06
125653	-1.282992169	5.14E-06
161614	-1.309009863	5.43E-06
115038	-1.779248479	5.47E-06
107269	1.048891126	5.59E-06
112467	-1.956870228	5.79E-06
189295	1.107483403	5.95E-06
108335	-1.261757697	6.19E-06
73240	1.235020465	6.19E-06
186366	1.647218481	6.90E-06
155383	-1.103985209	7.14E-06
157584	1.210985024	7.28E-06
139955	1.943986832	7.32E-06
157426	1.080224045	7.90E-06
107229	1.034597167	8.90E-06
135181	1.413504172	9.28E-06
106371	-1.952265855	9.49E-06
107961	1.926833067	9.84E-06
109077	-1.530396256	9.88E-06
108030	-1.005772206	1.03E-05
32392	1.168888044	1.05E-05
165612	1.807601877	1.07E-05
140713	1.303295111	1.08E-05
158914	-1.445901016	1.11E-05
166257	1.262379171	1.13E-05
83367	1.329370464	1.19E-05
110388	1.217134091	1.21E-05
17074	-1.268395149	1.21E-05
117664	1.246268877	1.22E-05
182647	1.407858081	1.25E-05
184870	-2.743155677	1.25E-05
151898	1.556426736	1.42E-05
46339	-1.852854002	1.43E-05
154750	-1.283756595	1.43E-05
157264	1.310596403	1.46E-05
157498	1.213119888	1.61E-05
159552	1.172044428	1.68E-05
178854	1.179872252	1.74E-05
154772	-1.239140151	1.75E-05
152236	-1.532424047	1.75E-05
36529	1.395029629	1.76E-05
113167	1.057298063	1.76E-05
155531	1.954700943	1.78E-05
116040	-1.270320804	1.90E-05
146996	-1.181032549	1.95E-05
162699	1.831618817	1.97E-05
104484	1.07897821	2.13E-05
159765	-2.292291839	2.13E-05
78068	-1.448443377	2.15E-05
115857	-2.261872799	2.23E-05
153053	-1.701861986	2.24E-05
39091	-1.222845365	2.26E-05
106932	1.720642768	2.30E-05
116279	1.179444233	2.49E-05
184270	-2.531651514	2.53E-05
109263	-1.580715015	2.54E-05
104507	-2.049615581	2.61E-05
110868	-1.245706943	2.65E-05
184304	1.034714592	2.66E-05
176428	-1.049439528	2.71E-05
182769	-1.132844943	2.76E-05
148055	-1.522450329	2.81E-05
41668	-1.449354738	2.88E-05
154961	-1.191663381	2.89E-05
108238	-1.326426694	3.02E-05
110924	-2.758162617	3.04E-05
82360	-1.930314995	3.04E-05
157064	1.485792873	3.12E-05
84769	-1.127461902	3.13E-05
156167	-1.186001924	3.22E-05
154814	1.079850943	3.32E-05
165806	1.985036693	3.32E-05
107141	1.113214028	3.32E-05
174921	1.27829163	3.40E-05
90329	-1.450890381	3.45E-05
109599	2.281904438	3.53E-05
153275	-1.17638234	3.59E-05
157278	1.354291366	3.59E-05
104504	1.161758389	3.61E-05
104405	1.521798912	3.67E-05
154133	1.383593713	3.67E-05
160543	1.356682956	3.71E-05
115756	1.229197138	3.89E-05
157992	-3.346506104	3.89E-05
112244	-2.92925201	3.95E-05
108619	1.190436373	4.18E-05
184709	1.321706494	4.24E-05
163718	1.205107617	4.28E-05
106207	-1.760928693	4.35E-05
145853	-2.343356973	4.61E-05
157195	-1.017303151	4.64E-05
189040	-1.492119287	4.76E-05
154992	1.59360185	4.80E-05
157263	-1.476345194	4.82E-05
153282	1.202736083	4.86E-05
165926	-1.339056533	5.22E-05
106254	1.603158862	5.26E-05
181188	1.255332102	5.31E-05
104699	1.060063877	5.36E-05
142505	1.356923626	5.42E-05
145801	-1.580069303	5.43E-05
113048	1.026977881	5.47E-05
187391	-1.475853151	5.89E-05
108697	1.897491023	5.91E-05
187167	1.287485098	5.98E-05
155279	-1.038321809	6.02E-05
157356	1.371857027	6.03E-05
157593	1.369283411	6.05E-05
134965	1.11474124	6.08E-05
43377	-2.050090916	6.15E-05
80006	-1.903796491	6.35E-05
136094	-1.344861458	6.62E-05
160248	-1.811521942	6.75E-05
48945	1.358380113	6.95E-05
156297	-1.194229285	7.00E-05
13406	1.093268392	7.23E-05
188453	1.060184466	7.46E-05
110703	-1.319862635	7.47E-05
190794	1.045494746	7.90E-05
115952	-2.168318276	8.08E-05
139177	1.707912724	8.09E-05
159532	1.117544579	8.46E-05
184060	1.221947001	8.46E-05
109302	-1.716733216	8.52E-05
153792	-1.332784296	8.63E-05
125591	-2.207966886	8.80E-05
162792	-1.395274565	8.85E-05
111555	-2.88066287	8.98E-05
154841	-1.426490336	9.18E-05
168275	-2.169877443	9.18E-05
116129	-1.733857447	0.000102126
163147	-1.499974875	0.000103705
114492	-1.725694685	0.000108047
109412	1.044459393	0.000108248
115037	-1.141792891	0.000110708
157587	-1.473745626	0.00012958
85900	-1.591106567	0.000130208
108405	-1.329824792	0.000131182
138737	1.687614897	0.000134797
148979	1.602089868	0.000139916
143638	1.020709695	0.000140212
104254	-1.18431406	0.000143017
184494	1.000291061	0.000143855
84477	1.319668667	0.000151162
104329	1.185707091	0.000151298
165704	-1.019995926	0.000154704
160654	-1.228193346	0.000156355
105700	-1.682312324	0.000163221
22237	-1.110247569	0.000163498
186020	1.475918751	0.000164813
84308	-2.15947791	0.00017542
146080	1.470523655	0.00018714
145299	-1.629155032	0.000193571
156579	-1.877484134	0.000195867
153454	1.292259609	0.000203726
105048	-2.0878604	0.000206777
157469	1.177397662	0.000207498
163076	1.356134026	0.000207863
148013	1.16108567	0.000210022
141268	-1.391863439	0.000222905
158770	1.878540299	0.000225411
77706	-2.369249724	0.000225452
80964	-1.143683679	0.000226977
88295	1.641134562	0.000231221
130612	-1.319510536	0.000236317
154273	-1.208315991	0.000241512
167240	1.086810518	0.00024443
104985	-2.311992377	0.000245653
105587	-1.965190785	0.000245653
156431	-1.291216484	0.000246299
111049	-1.900880642	0.000247645
40808	-1.172724421	0.00025499
150563	1.281807745	0.000257744
162730	1.067911125	0.000267096
152456	1.284266849	0.000277962
146440	1.093979701	0.000279875
113688	-1.101277588	0.000290489
157419	1.139107157	0.000294429
105710	-1.346070522	0.000317971
167652	1.024277873	0.000327291
138837	1.677525008	0.000346019
157402	2.074928287	0.000348565
188136	-1.068748641	0.000363542
109343	-1.067689255	0.000363585
133927	2.281669738	0.000371669
163077	1.546420571	0.000380032
157444	1.388707715	0.000402053
108298	-1.405158895	0.00040709
157212	-1.277859275	0.000422447
114551	-1.760245423	0.000429368
157063	-1.142990321	0.000438249
114756	1.291469654	0.000449829
86006	2.031245579	0.000450223
38698	-1.563609591	0.000456456
155255	1.081928065	0.000457467
112950	-2.40290762	0.000462058
136724	1.327442741	0.00048806
107026	1.857047573	0.000494727
109821	-1.738894932	0.000498686
157058	1.281735309	0.000500902
140055	-1.396033342	0.000501845
110684	1.079116512	0.000540198
163240	1.207600347	0.000540313
115373	-1.579449707	0.000541914
105060	-1.073046863	0.000546595
130592	-1.210312467	0.000546595
109528	-1.994856724	0.000546725
107658	1.609984729	0.000549854
171369	-1.045723641	0.000597714
156407	-1.043964832	0.00060213
142188	-1.017026542	0.000602446
186533	-1.271833427	0.000620114
163688	-1.381335215	0.000634172
159447	-2.120446913	0.000646729
73711	1.02296602	0.000646729
154978	1.183603739	0.000648831
110302	1.965100792	0.000650846
178831	-1.040470691	0.000650846
153523	-1.415071442	0.000654235
114813	-1.203261267	0.000667363
157061	-1.053025017	0.000672947
148538	1.233431679	0.000681258
72465	1.428879548	0.000692197
146396	1.28521067	0.000701116
159480	-2.224634381	0.000701502
114414	-1.107809901	0.000705592
104890	-1.603414108	0.000707215
124347	1.536424369	0.000716456
111273	1.004257335	0.000721542
114404	-1.02824893	0.000724596
107312	1.630206756	0.000779865
112531	1.125348358	0.000782971
191058	1.343051003	0.000785494
142239	1.487813825	0.000818396
123569	1.221645764	0.000828915
86308	1.373899853	0.000835092
108201	-1.368152577	0.000849751
118958	-1.676807484	0.000856574
115151	1.139305171	0.00086199
155463	1.140989672	0.000892898
128055	-2.038841317	0.000924221
191104	-1.713621282	0.000924256
161968	-2.175432519	0.000937932
106896	-1.497019398	0.000944922
142804	-1.04883288	0.000951869
140479	1.604293953	0.000991145
154866	-1.084045	0.001001241
76083	-1.255383839	0.001008572
167795	-1.153086208	0.001008572
147642	1.042360486	0.001029693
114575	2.131634975	0.001035354
150847	-1.098115475	0.001036452
81459	1.130087183	0.001041489
89882	-1.443686326	0.001079575
115848	1.021060655	0.001119144
109813	-2.238173858	0.001137577
93498	1.297634134	0.001137577
165226	-1.698780857	0.00114585
123815	-1.510326205	0.00116375
118405	-2.420596031	0.001193587
106562	-1.028210575	0.00119594
77661	-1.204758798	0.001243155
154075	-1.057975321	0.001250506
112114	-1.372331643	0.001261233
164765	1.347988394	0.001301908
190286	1.053388604	0.001321432
107053	-1.161590399	0.001325091
148433	-1.056870203	0.001360763
185293	-1.093785427	0.001363271
146914	1.414339782	0.00141069
153255	-1.581993459	0.001412104
35560	1.022906698	0.001418415
168368	1.457857561	0.001430553
135692	-1.901912644	0.001440068
113753	-1.452371796	0.001440068
160895	1.157684854	0.001461798
174374	1.26061061	0.001476712
147227	1.10473669	0.001504613
154479	1.206430453	0.001533365
135169	-1.697339479	0.001540903
184375	-1.034562595	0.001546549
155983	-1.122988884	0.00155937
154828	1.022655707	0.00156897
109398	-1.305369453	0.001618003
114039	-1.941467065	0.001649747
73433	-1.874995934	0.001650968
134139	-1.716427332	0.001703202
119638	-1.237135326	0.001730014
126026	1.392813885	0.001737054
107642	-1.34271754	0.001742893
147336	-1.489068465	0.00176671
165036	-1.810107472	0.001809433
113703	-2.895166671	0.001818153
153852	-1.138872975	0.001828012
78326	-1.361221225	0.001828097
155666	1.169466277	0.001846793
81119	-1.13678393	0.001862801
105255	1.366217102	0.001873463
115295	1.530507512	0.001899184
166553	-1.348701074	0.001902638
155298	1.491225123	0.001940736
158385	-2.371913466	0.002013172
107969	1.319452794	0.002013172
33615	1.488420833	0.00202519
142131	1.486388372	0.002070158
166730	1.088240987	0.002071758
114286	-1.801827473	0.002077599
156916	-1.141206933	0.002084455
116344	-1.391237549	0.002129994
161288	-1.912676791	0.002135055
157591	1.078040773	0.002158817
186509	1.108335763	0.002177533
150263	1.984076659	0.002199656
133972	-1.632510551	0.002216674
166274	-1.561902039	0.002236669
79646	1.495875952	0.002318223
115521	-3.712527208	0.002323601
182985	-1.171384209	0.002450217
156546	-1.14685218	0.002450217
86936	1.492728445	0.00245336
157115	-1.137781652	0.002472667
165444	1.411007815	0.002488149
76082	-1.072576002	0.002490677
90719	-1.444329259	0.002500408
114584	-1.691465418	0.002507235
83333	1.354389321	0.002524067
83946	1.139891985	0.002526884
126210	1.051040023	0.002538842
77290	-1.376228251	0.002564838
105696	-1.454238763	0.002582575
114725	-1.484457613	0.002652157
79453	-1.945720348	0.002696862
144573	-1.469039077	0.002699923
135793	-1.655426198	0.00271231
128301	-1.048545272	0.002722977
155025	1.044935807	0.002802231
36175	-1.374921777	0.002859801
111460	-1.549550965	0.002892401
164121	2.130742317	0.002907696
164609	-1.333994063	0.002907696
124558	1.335402511	0.002934149
105068	1.113174346	0.002949051
156313	1.95066102	0.002974793
155816	-1.342047979	0.002996582
115622	-1.210298451	0.003059307
107873	-1.143928424	0.003095092
81962	1.438283612	0.003102268
104316	-1.114375856	0.003103451
79351	-1.3569483	0.003140787
108370	-2.155382808	0.003166889
155113	1.124910037	0.003173439
43679	-1.494741811	0.003181937
157218	1.072249798	0.003183732
158487	1.260001395	0.003205943
115799	1.105260641	0.003212495
83828	1.092118498	0.003230845
165306	1.576616078	0.003231515
166881	-1.131191677	0.003235541
153099	-1.324424574	0.003244204
163733	-1.507235613	0.003271054
152023	1.104666673	0.003354406
79121	1.35757238	0.003405684
115759	-1.045476173	0.003406217
149271	1.430356168	0.003465757
108239	-1.596921339	0.003468107
117141	1.252851704	0.003476537
73139	-1.226943395	0.003509729
109309	2.379857189	0.003510058
113531	-1.199821586	0.003510886
115084	-1.505454116	0.003548291
108397	-1.550575798	0.003581685
109227	1.133365441	0.003719467
154804	-1.639385198	0.003762419
86710	1.182523171	0.003787624
116223	-1.365194011	0.003809535
110788	-1.1309746	0.003850742
148944	-1.563064613	0.00386139
189752	-1.442909421	0.003881243
155456	1.862040815	0.003904941
108135	-2.339270818	0.003934699
153656	-1.574194974	0.003934699
140988	-1.235846327	0.003980366
112341	-2.164796637	0.003980366
165072	-1.027041011	0.004077355
107896	-1.911705135	0.004157352
174595	1.119658889	0.004188933
39830	-1.132841904	0.004234455
166331	-1.266125367	0.004248061
157645	-1.588195924	0.004439923
109934	1.001091914	0.004480287
163257	-1.039194403	0.00450678
79317	-1.154482441	0.004507055
85264	-1.314458684	0.004522238
71831	1.459687632	0.004567202
109532	-3.691353551	0.00458418
85180	-1.379847001	0.004612582
108448	-2.434894875	0.004669171
150170	1.040184533	0.004811318
39960	-1.076111617	0.00486778
78912	-1.368976966	0.004895219
115267	-1.441930745	0.004958053
105610	1.6957618	0.004986373
115845	-1.317153448	0.005004007
105913	1.061891103	0.005025571
106541	-1.200394572	0.005090342
78651	-1.609783696	0.005097367
72330	1.163133347	0.005101438
160355	-1.848420975	0.005185733
164515	1.015920242	0.00519808
125943	1.465410709	0.005288531
163092	-1.534629243	0.005346543
155570	1.173901049	0.005390033
111010	-1.892121095	0.005443204
141803	1.358757526	0.005451061
162698	1.234740037	0.00551077
80401	1.71328184	0.005636458
186492	-1.120088854	0.005731058
107145	-1.299454865	0.005967196
167464	-1.098710831	0.005979226
113168	1.652556121	0.006069502
109334	-1.567568417	0.006189876
91949	-1.638988968	0.006228999
127026	-1.340781044	0.006228999
75018	-1.587560172	0.006257506
86670	1.279170112	0.006379613
79878	-2.172130113	0.006500102
163402	-1.408017144	0.006508145
11289	-1.318776148	0.006513497
146751	1.077069658	0.00651732
150779	-1.70974521	0.006545824
79895	1.151914345	0.006638373
182712	1.280592844	0.00665513
72954	-2.025415618	0.006660391
161924	1.320901589	0.006865394
43302	1.057751278	0.006943666
83377	-1.317403198	0.00697665
135599	1.254771783	0.00716895
13978	-1.471175597	0.007184171
107224	-1.544077073	0.007496908
138363	-1.010996194	0.00752247
108372	1.096378693	0.007636339
113567	-1.220066396	0.007803168
164668	-1.304601382	0.007829724
142496	1.388126936	0.007860696
163700	1.061275636	0.007915981
86687	-1.147465619	0.007959107
107963	-1.029533063	0.008053565
129990	-1.831942769	0.008163851
148256	-1.83697003	0.008297318
24485	1.022786067	0.008328833
24441	1.468827572	0.008368284
108502	-1.116970347	0.008611334
154647	-1.294045015	0.008611334
113819	-1.144025937	0.008627824
107669	-1.515851034	0.008637112
80892	-1.233900742	0.008767999
113678	-1.474312275	0.008972157
108840	-1.033383969	0.009105623
158341	-1.221697887	0.009126992
115003	-1.449027391	0.009138276
107602	-1.670822457	0.009176257
45205	-1.332029999	0.00921016
132741	1.504115483	0.009259078
155173	-1.357185498	0.009277764
156235	-1.15539062	0.009510376
182857	-1.358455845	0.009539553
112923	1.110743281	0.009615041
114121	-1.600975487	0.009626524
86422	-1.082842154	0.009843905
146159	1.004857999	0.009919246
166508	-2.117931508	0.009924421
162077	-1.721040406	0.009944951
162063	-1.756934514	0.009990056
114066	-1.156966176	0.010038725
32511	-1.555991762	0.010091455
115572	-1.401263121	0.010351492
140394	-1.644279596	0.010689637
105275	-1.085285543	0.011098053
109727	-1.43900841	0.011111397
108935	-1.363144453	0.011123257
111645	-2.021978824	0.011123257
158007	-1.259486719	0.01158193
114266	-2.074587565	0.011609527
154827	1.292116399	0.011685414
105088	-1.708715072	0.011803966
38405	-1.672552924	0.011841497
85111	-1.655149871	0.011987689
76343	-1.35249759	0.011989186
108379	1.16986641	0.011989186
154473	-1.306989259	0.0120118
114904	-1.469827203	0.012114271
76916	-1.621390397	0.012198869
156263	-1.06303005	0.012237301
22150	-1.225392917	0.012303386
139916	1.070671104	0.012370993
106238	-1.099336743	0.012439368
44438	-1.01702328	0.012466023
92820	-1.065540974	0.012480089
151310	1.392094182	0.012508969
109863	1.09755773	0.012561945
108626	-1.0837395	0.012698178
166503	-1.581833416	0.012777107
76764	1.10148302	0.013074433
125764	1.098934289	0.013130212
112249	-1.466104741	0.013130212
113380	-1.3681585	0.013139123
108471	-1.266431573	0.013149786
81764	-2.354540473	0.013205068
81648	-1.344063182	0.013437638
82114	1.36944229	0.013437638
161215	-1.278469992	0.013439494
107554	-1.559521508	0.01354826
104655	1.297924156	0.013705209
85493	-1.172507046	0.013726213
133817	-3.438852766	0.01420461
157460	-1.067117606	0.014213567
107142	-1.322604339	0.014269328
112520	-1.419585833	0.014269391
155043	-1.120130657	0.014283539
132126	-1.137986451	0.014429223
104454	1.098295031	0.014565283
14281	1.097020094	0.014615672
113101	1.840949201	0.014747552
130602	-1.379296828	0.014794118
186396	-1.024938391	0.015350289
36903	1.337384202	0.015350289
138374	-1.378282384	0.015359885
157923	-2.292753147	0.01585058
163412	-1.136572296	0.016187452
159427	1.064087051	0.01641575
159144	-1.637443361	0.016419964
165248	1.226476074	0.016419964
83617	-1.531512504	0.016600156
139962	-1.086087393	0.016636432
156662	-1.384226094	0.016894736
145589	-1.850960794	0.016894736
116317	-1.445686808	0.016940046
113241	1.069717553	0.016990287
159195	-1.280114283	0.017164312
177510	-1.592705824	0.017394262
165795	1.484009996	0.017742161
85355	-1.145768662	0.017853322
165503	-1.237354036	0.017944157
163644	-1.121533261	0.018198836
150820	-2.083745343	0.018629932
11833	-1.380117006	0.018640938
82671	-1.880165835	0.018866715
156957	1.007449056	0.018889671
156277	-1.564522309	0.01900507
162767	1.569113606	0.019088226
122090	-1.718204087	0.019195187
15755	-1.209392743	0.019332104
143483	-4.870183885	0.019515849
83263	-1.159791478	0.019673859
120424	1.162640764	0.019673859
161412	1.027785921	0.019695381
152122	-1.143882347	0.01994826
156197	-2.049792799	0.020053984
71760	-1.213273688	0.020081828
155468	-1.444434419	0.020278793
190864	-1.238582412	0.020429017
107263	-1.969418368	0.020462842
126048	1.332947591	0.020529607
149755	-1.276964043	0.020820242
155435	-1.023394045	0.02132386
184292	-1.158591715	0.021397979
163925	-1.520883098	0.021431475
154855	-1.291047467	0.021463423
113560	1.167703183	0.02157104
130929	1.075717856	0.02165393
106369	-1.235782741	0.021887563
126632	1.142795834	0.022366322
157095	1.097938	0.022425582
77243	1.082967706	0.022433929
109397	-2.161410746	0.022480481
116354	-1.475562462	0.022604799
79009	-1.128371783	0.022611431
105830	-1.545680535	0.022646842
86286	-1.448947577	0.022729805
79547	-1.628661097	0.022972242
140212	-1.104349705	0.023107722
16135	-1.258928645	0.023140428
92273	2.444453202	0.023197267
167863	-1.560132459	0.023227926
106272	-1.514258366	0.023269639
144088	1.020116865	0.023273482
190180	1.042543384	0.02346883
110615	-1.415738265	0.023630252
107713	-1.39859661	0.023727531
82744	1.267765059	0.023751363
155450	1.025370908	0.023829795
125745	1.040439679	0.023884691
154250	-1.097867842	0.024357688
24118	1.316807219	0.024586112
111593	1.035651845	0.025036164
147171	1.880395048	0.025042475
188911	-1.08899171	0.02515583
160339	-2.004511808	0.02528585
107951	-1.134648272	0.025368739
125638	-1.760609126	0.025368739
144921	-1.974247489	0.025400401
143745	1.114116685	0.02547123
158815	-1.658308209	0.025823628
111412	-1.069711523	0.025823628
77371	-1.491422064	0.026193405
152291	-1.31619063	0.026494788
110783	-1.363155059	0.026722617
151498	-1.362682231	0.027121566
125572	1.115696665	0.027242368
150109	-1.005100926	0.027367453
154703	-1.385641443	0.02762261
161407	-1.748736928	0.027866769
155489	-1.419475916	0.02810704
112015	-1.296036313	0.028291271
86410	-1.606292177	0.028332907
159009	-1.663160432	0.029088981
156158	-1.310181673	0.029121895
107109	-1.305152689	0.029151261
114342	-1.081462577	0.029612474
112814	1.140413641	0.030211026
155903	4.144647785	0.030416775
80796	1.183072171	0.030589888
104627	-1.203093368	0.030681457
78687	-1.672235725	0.03097273
104828	-1.544224015	0.031295646
85091	-1.119115945	0.031899747
86017	1.151109715	0.031899747
159685	-1.092280294	0.031901635
104766	-1.455964	0.031952239
149491	-1.01108741	0.032079781
164510	-1.397470113	0.032438411
137890	-1.581035123	0.032597334
79610	-1.553115099	0.032879573
77716	1.175589131	0.032928328
106563	1.017471009	0.032966413
111603	1.004829358	0.032992742
168336	-1.476113431	0.033051232
106140	1.186807004	0.033217097
36468	-1.420513489	0.033584198
156744	1.062869105	0.033584198
107534	-1.129826914	0.033618383
82050	-2.030779885	0.033618383
151941	1.015925398	0.034016675
81363	-1.496403617	0.034026814
163594	-1.431493554	0.03416038
76927	-1.728400307	0.034189912
42770	-1.074668302	0.034189912
83686	1.074954842	0.034231567
165438	1.118949426	0.034264522
135619	1.08205431	0.034820959
106493	-1.634753491	0.034992206
159727	-1.301536825	0.035053776
110704	-1.269757716	0.035699362
111366	-2.290793663	0.035699362
167672	-1.524579955	0.035716111
147149	1.037372828	0.035740055
76245	-1.442668615	0.036281295
164400	1.168265271	0.036530128
107920	-1.330432589	0.036899648
107688	-1.497612166	0.037306463
24324	-1.647692964	0.03748712
86148	-1.373067142	0.037646041
162659	1.11111152	0.037654618
135320	-1.040233404	0.037804775
109775	-1.006191549	0.037804775
40585	-1.330383691	0.037804775
104249	-1.169470385	0.037845593
164479	1.009155819	0.037856546
164509	-1.579881431	0.038588121
126140	1.325570827	0.038663348
115051	1.026043812	0.038671006
134236	-1.323872481	0.038895506
104397	-1.362678901	0.039170139
124847	1.351370899	0.039173696
105347	-1.020418431	0.04005773
157160	-1.213905605	0.040084747
106822	-1.365861056	0.040108968
88825	-1.033983982	0.04070401
107105	-2.633174117	0.041163303
161616	-2.09641561	0.041549189
111110	-1.386125417	0.041854593
153706	-1.166341224	0.042256628
154774	-1.030758331	0.042375455
77701	-1.123478857	0.042529078
155847	-1.851861735	0.043422273
116171	-1.391898541	0.043443459
114270	-1.104699096	0.043669545
111653	-1.119238655	0.043682249
158052	1.059343912	0.043702451
79649	-1.287856277	0.043871165
106702	-1.315455934	0.043882328
157464	1.256742327	0.044033548
114612	1.034089512	0.044156066
106189	-1.395660046	0.044389049
115161	-1.338352775	0.04454227
80432	-2.358535486	0.044872881
80485	-1.585646909	0.044974626
104722	1.067217519	0.04518274
164044	-1.890182856	0.04521306
115079	-1.665061207	0.045299203
155310	-1.025545527	0.045536951
141303	-1.374172904	0.045579487
110108	-2.238673223	0.045947064
104246	-1.509248044	0.046158322
127793	1.082747263	0.046393358
79935	-1.912631591	0.046408195
157131	-1.072072807	0.046755016
168317	-1.313179722	0.046755016
110801	-1.433707043	0.04724581
71892	-1.436773216	0.047402219
158061	1.048426646	0.047402928
80527	-1.215563786	0.04789128
112901	-1.012704067	0.04789128
164774	1.032476377	0.047956476
115875	-1.018548894	0.048240286
157997	-1.122270646	0.04830839
157604	-1.249007367	0.048453143
116320	-1.033155629	0.04890191
156494	1.254155104	0.04911338
74780	-1.218047926	0.04911338
106346	-1.10315756	0.049214579
162300	-1.365950375	0.049355529
