Gene	log2FC_sRNA	padj
85793	-5.426069151	3.75E-51
111157	-5.708542598	4.11E-51
113462	-5.161327956	4.51E-51
165115	-5.324231538	5.03E-51
115792	-5.264221579	5.14E-51
162016	-5.402170885	5.87E-51
166230	-5.621000238	6.85E-51
86417	-5.394259494	8.33E-51
110964	-5.382369934	1.19E-50
161884	-4.754374897	1.22E-50
112652	-5.105163166	1.32E-50
113648	-5.011871251	1.32E-50
114012	-5.823861333	1.86E-50
164856	-5.271718689	2.64E-50
115434	-5.40965272	2.64E-50
114368	-5.904225025	4.42E-50
108528	-5.589670345	4.77E-50
85955	-5.064861245	8.38E-50
110407	-5.393004418	8.58E-50
163068	-5.389953114	9.14E-50
84919	-5.219306683	9.79E-50
107784	-5.248789627	1.25E-49
85859	-5.389048954	1.26E-49
109983	-5.335059527	1.31E-49
168323	-6.201239184	1.47E-49
106768	-5.16667091	1.50E-49
78345	-5.694174782	1.86E-49
163195	-5.53333359	2.79E-49
114130	-5.527016307	3.26E-49
157925	-5.667930882	3.32E-49
84406	-5.408511187	3.53E-49
85526	-5.267609005	5.29E-49
166329	-5.274001671	5.47E-49
167664	-4.882350155	7.12E-49
108434	-5.478566705	7.83E-49
107899	-5.746549119	8.65E-49
108050	-5.478518821	8.65E-49
113931	-5.468566557	8.65E-49
159352	-5.326320689	1.13E-48
164840	-5.725409924	1.72E-48
104840	-6.34709298	1.79E-48
161181	-5.463440554	1.79E-48
104474	-5.342648501	2.37E-48
105999	-5.18429569	2.38E-48
114098	-6.024582021	2.54E-48
76105	-5.665303109	2.71E-48
107410	-5.279945434	3.81E-48
110830	-5.271033714	4.08E-48
164768	-5.299243879	4.36E-48
115533	-4.899544424	4.85E-48
159676	-5.015957409	8.54E-48
85973	-5.089852248	9.67E-48
109726	-5.04161509	1.07E-47
114745	-5.373740645	1.51E-47
77020	-5.44076538	1.70E-47
112324	-5.230010639	1.75E-47
116131	-5.244804677	1.88E-47
162045	-5.373152125	1.97E-47
109772	-5.312112724	1.99E-47
166199	-4.954186876	2.17E-47
80993	-5.145376309	2.91E-47
158263	-5.625641692	3.06E-47
77392	-5.167469357	3.28E-47
104801	-5.452351332	3.28E-47
109900	-5.225139405	3.76E-47
104769	-5.492405401	6.94E-47
82472	-5.048149651	8.57E-47
106390	-5.146372746	8.83E-47
115385	-4.805883531	1.36E-46
80992	-5.246772052	1.58E-46
113232	-5.052361579	1.73E-46
81974	-5.572614148	2.60E-46
162616	-5.130061766	3.03E-46
76941	-5.032734608	3.76E-46
114913	-5.302644126	4.00E-46
86330	-5.462805787	4.27E-46
115432	-5.092743778	4.36E-46
112210	-5.193195183	7.86E-46
162725	-4.900450965	9.22E-46
75923	-5.177658953	1.08E-45
161204	-5.299604007	1.17E-45
107968	-5.193854818	1.18E-45
116126	-5.322516047	1.22E-45
104961	-5.314899502	1.33E-45
161576	-5.172847601	1.43E-45
159569	-5.259986669	1.46E-45
156604	-5.290770532	2.00E-45
111924	-5.306955333	2.17E-45
113038	-4.912038446	2.66E-45
121797	-5.348960897	2.87E-45
111158	-5.410097997	2.92E-45
166471	-5.309543264	3.29E-45
109572	-5.109235395	3.45E-45
108478	-5.158760719	5.22E-45
110276	-5.042010762	6.44E-45
166118	-5.343296586	6.94E-45
167622	-4.951008668	8.36E-45
158469	-5.28059538	1.08E-44
109550	-5.313304292	1.13E-44
85022	-5.356480799	1.16E-44
105886	-5.179274286	1.19E-44
86861	-5.12271855	1.23E-44
86048	-5.035432403	1.56E-44
109415	-5.17330847	1.98E-44
159702	-5.045610079	2.27E-44
82207	-5.215728649	2.38E-44
77171	-5.282550509	2.42E-44
116333	-5.031649482	2.44E-44
86924	-5.12487268	2.48E-44
109318	-5.5774285	2.83E-44
113861	-5.273451102	2.98E-44
113212	-5.191246285	3.00E-44
107351	-5.264130985	3.18E-44
114746	-4.353888341	3.40E-44
160956	-4.954521909	3.61E-44
115405	-5.498468541	4.45E-44
85858	-5.143596635	4.65E-44
116332	-5.138590639	4.81E-44
81059	-4.7209369	5.91E-44
158110	-5.190053936	7.76E-44
157699	-5.259103021	8.40E-44
105676	-4.889252641	8.40E-44
157986	-4.682627308	8.70E-44
115116	-4.757605658	8.78E-44
114119	-5.449625419	1.13E-43
110404	-4.91571819	1.21E-43
114080	-5.351983358	1.64E-43
82925	-5.034296074	1.83E-43
84864	-5.423293561	1.89E-43
114120	-5.210566365	1.91E-43
84203	-5.273444495	2.05E-43
113695	-5.503848536	2.12E-43
158672	-4.898865667	2.35E-43
79183	-5.209812432	3.05E-43
158895	-5.244607733	3.24E-43
85743	-4.867016193	3.38E-43
104718	-5.370282023	3.62E-43
105678	-5.201931776	5.00E-43
79354	-5.499031451	5.23E-43
109805	-5.470037795	5.89E-43
116273	-5.441221161	7.14E-43
86602	-5.40546426	7.60E-43
165981	-5.101893864	8.01E-43
111093	-4.996507673	1.06E-42
156553	-5.189998759	1.06E-42
107411	-5.35594948	1.70E-42
106197	-5.310733274	1.77E-42
108864	-4.995032208	1.77E-42
114842	-4.916400545	1.85E-42
116281	-5.283887803	1.97E-42
83652	-5.33046598	2.51E-42
112460	-5.106763776	2.74E-42
107063	-4.926746297	3.07E-42
113787	-5.403009852	3.10E-42
79134	-5.235412079	3.11E-42
158274	-4.911596258	4.57E-42
161025	-4.943185488	4.57E-42
112841	-5.662256849	4.62E-42
108437	-4.786688957	4.72E-42
113109	-4.908218	4.93E-42
105938	-5.009211467	6.20E-42
116172	-4.827447542	6.44E-42
114277	-3.367775248	7.57E-42
106104	-4.909921968	7.73E-42
107412	-5.051027851	9.02E-42
114051	-4.665367299	9.40E-42
108253	-5.023924374	1.46E-41
107455	-5.116555157	1.81E-41
82384	-5.244778998	1.92E-41
166198	-5.103930024	2.54E-41
156395	-5.077066381	2.68E-41
165362	-4.610844279	2.87E-41
111696	-5.044584661	2.89E-41
115367	-5.071745071	2.95E-41
111306	-4.612053718	2.96E-41
81263	-5.056637464	3.42E-41
115621	-5.310788335	3.42E-41
113608	-5.334765567	4.66E-41
166952	-5.274538756	4.99E-41
109582	-5.251388204	5.90E-41
109624	-5.364194191	7.50E-41
157510	-4.519411018	9.46E-41
107005	-5.152644461	9.51E-41
112810	-5.217197308	1.02E-40
86232	-5.101999774	1.09E-40
116364	-4.912448574	1.15E-40
108643	-5.254467392	1.16E-40
77504	-4.449173383	1.26E-40
112469	-4.895917662	1.27E-40
115467	-4.554720298	1.45E-40
115854	-5.385709987	1.62E-40
113666	-4.624631211	1.66E-40
166970	-4.99496688	1.80E-40
80244	-4.889498852	2.55E-40
106502	-5.018321119	2.76E-40
113376	-4.962240337	3.09E-40
168121	-4.952667227	4.40E-40
167314	-4.790260679	4.42E-40
165194	-4.788039922	6.60E-40
115711	-4.922942255	1.09E-39
78078	-4.788277196	1.10E-39
114483	4.716223262	1.24E-39
79714	-4.613323586	1.46E-39
112811	-4.961189768	2.10E-39
104995	-5.138407295	2.12E-39
157843	-5.125232528	2.49E-39
158897	-5.2642952	4.21E-39
107062	-5.155259698	5.05E-39
85623	-5.034945464	5.21E-39
112439	-4.926212012	5.64E-39
112951	-4.967070499	6.79E-39
112400	-4.885024043	9.80E-39
83142	-5.077213029	1.12E-38
158172	-5.040380243	1.45E-38
111728	-5.161103753	1.65E-38
152804	-5.262910307	1.85E-38
108093	-4.647369532	2.59E-38
113403	-4.729687686	2.75E-38
110630	-5.403935798	2.88E-38
107379	-5.575699329	3.24E-38
76982	-5.092316175	3.74E-38
107715	-5.119009484	4.60E-38
107678	-4.989923825	4.94E-38
82208	-4.857249287	6.63E-38
159740	-4.816836117	8.17E-38
158702	-4.755003965	1.02E-37
121815	-4.930354714	1.36E-37
46410	-2.739901122	1.52E-37
109609	-3.918534198	1.70E-37
85242	-4.716881077	2.52E-37
114132	-4.876156269	2.81E-37
160588	-5.101554422	3.66E-37
158276	-4.868413089	3.71E-37
112534	-4.752992065	4.43E-37
107958	-5.077774838	4.67E-37
106770	-4.966740892	5.32E-37
116082	-4.784584716	5.45E-37
167911	-5.044107265	5.46E-37
78304	-4.853144932	7.04E-37
156804	-5.228174802	7.34E-37
108263	-5.167999318	7.50E-37
113611	-4.77031224	7.59E-37
83227	-4.639431102	9.53E-37
106315	-4.967982631	1.02E-36
109623	-5.214961095	1.12E-36
91027	-3.847438619	1.14E-36
155883	2.22596652	1.84E-36
84912	-4.718359445	2.50E-36
104758	-5.651640549	2.61E-36
161577	-4.829259304	2.95E-36
122463	-5.191992849	3.59E-36
83993	-4.892450456	4.29E-36
78553	-4.569914489	5.47E-36
109999	-4.970067439	5.91E-36
123153	-5.103630451	1.40E-35
113664	-5.043191206	1.71E-35
80809	-4.541658217	1.84E-35
110120	-5.045412434	2.08E-35
155166	4.09687734	2.11E-35
161123	-4.566985646	2.98E-35
111588	-5.331248167	3.24E-35
106037	-4.747496727	3.40E-35
85556	-4.260268334	3.64E-35
110121	-4.332264683	4.02E-35
86485	-4.631787135	4.93E-35
82126	-3.112040662	5.03E-35
107084	-4.670875156	5.37E-35
108505	-4.963333404	5.55E-35
105998	-4.830162803	6.42E-35
160930	-4.786208978	8.19E-35
115199	-5.214943692	9.03E-35
115531	-5.563749287	1.09E-34
79776	-5.089267136	1.21E-34
75643	-4.621897259	1.27E-34
168020	-5.09493548	1.35E-34
147376	1.950863087	1.41E-34
104672	-4.745598291	1.55E-34
163770	-4.947654444	2.06E-34
77036	-5.182297778	2.08E-34
168019	-5.046458514	2.09E-34
161124	-4.810190128	2.44E-34
157276	2.179642823	4.96E-34
114035	-4.374379279	1.32E-33
104551	-4.205474868	1.61E-33
112436	-4.492349371	2.98E-33
108791	-4.06915013	4.31E-33
114776	-4.621013477	5.83E-33
112919	-4.812381457	8.84E-33
132524	-4.756543191	1.06E-32
114220	-4.730843888	1.50E-32
115736	-5.37805833	1.67E-32
78403	-4.112174082	1.90E-32
80770	-4.390159467	2.36E-32
113966	-4.280885101	2.38E-32
104453	-4.403201728	2.84E-32
